,portfolio,benchmark,regime
2008-01-07,1.0,1.0,
2008-01-08,1.0014831846864387,0.9898457726861444,Crisis
2008-01-09,1.0015051401459034,0.9968415514334455,Crisis
2008-01-10,1.0009985915543451,0.9953751084393484,Crisis
2008-01-11,1.0038362271962527,0.9936660297617854,Crisis
2008-01-14,1.0061000417448667,0.9999495140800295,Crisis
2008-01-15,1.0060260786819122,0.9912267263150294,Crisis
2008-01-16,1.0019673351340477,0.9832430515469297,Bear
2008-01-17,1.0043659823071813,0.973050518578593,Crisis
2008-01-18,1.0040844073573028,0.9643842719230328,Crisis
2008-01-22,1.0093132641380866,0.9626337133879311,Crisis
2008-01-23,1.007887975511939,0.9756301379137797,Crisis
2008-01-24,1.0054064282067692,0.9727488722831283,Crisis
2008-01-25,1.0086817829384112,0.9708745926705534,Bear
2008-01-28,1.0109320244154945,0.979050321248546,Bear
2008-01-29,1.008950778934916,0.9792972499947965,Crisis
2008-01-30,1.0086319451083858,0.9724161254585019,Crisis
2008-01-31,1.0125452595242552,0.985818179368083,Crisis
2008-02-01,1.0151320136904933,0.9977038292190493,Crisis
2008-02-04,1.0111015809860182,0.9860492984311022,Crisis
2008-02-05,1.0083227294146575,0.973221854597201,Bear
2008-02-06,1.0078781092431088,0.9673314595422904,Crisis
2008-02-07,1.0023216921013787,0.962833068016061,Crisis
2008-02-08,1.0068024162670601,0.9635305890315241,Crisis
2008-02-11,1.0089264699617804,0.9680889523152001,Bear
2008-02-12,1.0083671924331612,0.9711690106508378,Crisis
2008-02-13,1.0071913481579209,0.9730142442479855,Crisis
2008-02-14,1.003431878568912,0.9621572404639795,Crisis
2008-02-15,1.0034421685417987,0.96498345226859,Bear
2008-02-19,1.0044931202006597,0.9627043573191518,Bear
2008-02-20,1.0047943089737577,0.9670770311964318,Crisis
2008-02-21,1.008908153898427,0.9663502746490914,Bear
2008-02-22,1.0080815187923162,0.9677070338896087,Crisis
2008-02-25,1.0053506677130943,0.9710735524230512,Crisis
2008-02-26,1.0092902623351943,0.9755716691127069,Bear
2008-02-27,1.0120493567739148,0.9753218935606928,Bear
2008-02-28,1.0179137060664787,0.9765371222768886,Bear
2008-02-29,1.0207454668988598,0.9694570040187048,Bear
2008-03-03,1.0201805437493516,0.9670664434670608,Crisis
2008-03-04,1.016000349766108,0.9610906132499208,Crisis
2008-03-05,1.0156744426492432,0.9601311982855826,Crisis
2008-03-06,1.0158443502066694,0.9502614506576607,Bear
2008-03-07,1.0148964479670803,0.9448834837484654,Bear
2008-03-10,1.0178179588277323,0.9429826405932318,Crisis
2008-03-11,1.014433414812644,0.960091378528699,Crisis
2008-03-12,1.0214611437699443,0.9621131591355959,Crisis
2008-03-13,1.0196164581254985,0.9603764737626834,Crisis
2008-03-14,1.0238549395008618,0.9561960115024797,Crisis
2008-03-17,1.0257954447784452,0.9533366688481936,Bear
2008-03-18,1.0236566274120829,0.9756254936712894,Crisis
2008-03-19,1.0235208223615657,0.9675919211516475,Crisis
2008-03-20,1.021761342865336,0.9793032657655859,Bear
2008-03-24,1.013938036842827,0.9834701759047375,Crisis
2008-03-25,1.0199667246285946,0.985690315411523,Bear
2008-03-26,1.0214054303285838,0.9768062235042241,Bear
2008-03-27,1.0205577199098277,0.9722114689521676,Crisis
2008-03-28,1.0214663760202332,0.9704125990981397,Crisis
2008-03-31,1.0220063728146573,0.973830599831222,Crisis
2008-04-01,1.017525088812179,0.9880344166924728,Crisis
2008-04-02,1.017500324106978,0.9892659816649638,Crisis
2008-04-03,1.0178654114796224,0.9916252447475032,Bear
2008-04-04,1.022758480408081,0.9945902259027656,Crisis
2008-04-07,1.0198726668295204,0.9928057465897046,Crisis
2008-04-08,1.018937622475788,0.9908130521333419,Crisis
2008-04-09,1.0229895860621043,0.9906270886658314,Crisis
2008-04-10,1.0206749683103147,0.9901286345645075,Crisis
2008-04-11,1.0215214934351027,0.9812660583285505,Crisis
2008-04-14,1.0197793173405112,0.9769820946291707,Crisis
2008-04-15,1.0175521048638283,0.9735003238106086,Crisis
2008-04-16,1.0173054786694928,0.9855120010118941,Crisis
2008-04-17,1.0146577083845578,0.9856983130046232,Crisis
2008-04-18,1.0137877162092306,0.9915290865985235,Crisis
2008-04-21,1.013862494123517,0.993411834885833,Crisis
2008-04-22,1.0137607508547783,0.9921527181479388,Crisis
2008-04-23,1.0119821104070617,0.9898871085285268,Bear
2008-04-24,1.0060237443863393,0.9891165179289467,Crisis
2008-04-25,1.0065246896033895,0.9922951129256935,Bear
2008-04-28,1.0083870000285433,0.9936336638201093,Crisis
2008-04-29,1.0074850598663796,0.9927950502767121,Crisis
2008-04-30,1.0103593016567551,0.9921180934392105,Crisis
2008-05-01,1.0076290468149096,1.0044576044419669,Bear
2008-05-02,1.005179194815317,1.001056593347356,Bear
2008-05-05,1.0070560790766683,0.9981704384860476,Crisis
2008-05-06,1.0066797369117761,1.0004821067245282,Crisis
2008-05-07,1.0067341211702978,0.991506709134803,Crisis
2008-05-08,1.0112634920387982,0.993532393925772,Crisis
2008-05-09,1.0116583607222898,0.993884157906798,Bear
2008-05-12,1.0110051894109142,0.9999802389293482,Bear
2008-05-13,1.004763863790908,0.9956917270139176,Bear
2008-05-14,1.0043505005021585,0.9970994374234704,Crisis
2008-05-15,1.0099232729730574,1.0082013390826545,Crisis
2008-05-16,1.0128921851746806,1.007091623388488,Bear
2008-05-19,1.0144944415237283,1.0092694418424202,Bear
2008-05-20,1.016559795620025,1.0064664258181695,Crisis
2008-05-21,1.015028144296518,0.9963390928394349,Bear
2008-05-22,1.010557595996451,0.9917267382103786,Bear
2008-05-23,1.0117069083118904,0.9854872349398769,Bear
2008-05-27,1.0081996335703778,0.9872059829947415,Crisis
2008-05-28,1.0041029438050424,0.9864307444663073,Crisis
2008-05-29,1.000372295678086,0.9865662367473855,Crisis
2008-05-30,1.0035650218306615,0.9906416466737554,Crisis
2008-06-02,1.0061863316397543,0.9860293995202628,Crisis
2008-06-03,1.0066980796641327,0.9854181266259848,Bear
2008-06-04,1.0043316558185456,0.9816082814442194,Bear
2008-06-05,1.0038964251010607,0.9910334567311744,Bear
2008-06-06,1.0070516078857508,0.9772011380707885,Crisis
2008-06-09,1.0015758949103106,0.9786209953105925,Crisis
2008-06-10,0.9938941769655699,0.9731538059779288,Bear
2008-06-11,0.9951681730248186,0.9636565578673735,Bear
2008-06-12,0.9884640970045759,0.9620019308128441,Crisis
2008-06-13,0.9897778575824788,0.9684790242323814,Bear
2008-06-16,0.9910377649587964,0.9689077879521207,Crisis
2008-06-17,0.9932938829033634,0.9668761239954101,Crisis
2008-06-18,0.9960770527117747,0.9644840523807283,Bear
2008-06-19,0.9934469695870104,0.9629404435771369,Bear
2008-06-20,0.9943419530225518,0.9558055879361077,Bear
2008-06-23,0.9927337878048422,0.956047989804464,Crisis
2008-06-24,0.9955601781493617,0.9574628681413953,Bear
2008-06-25,0.9966398669613978,0.9603467583171895,Bear
2008-06-26,0.9995811891699233,0.9472817765502547,Crisis
2008-06-27,1.002757231302228,0.9486228707404974,Bear
2008-06-30,1.0037242062056342,0.9507131838799742,Crisis
2008-07-01,1.0027214240940823,0.951595043213078,Crisis
2008-07-02,1.0026147241265455,0.9438011358390677,Crisis
2008-07-03,1.0030996480251329,0.9435663840018703,Crisis
2008-07-07,1.004049522802278,0.9395059948214726,Crisis
2008-07-08,1.0063770492991322,0.951953498416884,Crisis
2008-07-09,1.0079254757979894,0.9426327997777402,Crisis
2008-07-10,1.0093291768752097,0.9449042351063939,Crisis
2008-07-11,1.0035063837321008,0.9329211633633802,Crisis
2008-07-14,1.0068489367953182,0.931138788558821,Crisis
2008-07-15,1.007493990827307,0.9231427774350349,Crisis
2008-07-16,1.003776307388123,0.9300643322881267,Crisis
2008-07-17,1.0021678929892306,0.9337304862632354,Crisis
2008-07-18,1.0004896334139664,0.9358220808799775,Crisis
2008-07-21,1.0026174204840104,0.9375826056061538,Crisis
2008-07-22,1.0003073032865035,0.9421058725526782,Crisis
2008-07-23,0.9984875681107876,0.9444144415464698,Crisis
2008-07-24,1.002003657505332,0.9363413910102066,Crisis
2008-07-25,0.9989308716585806,0.9324638500943281,Crisis
2008-07-28,1.0010002417643256,0.9280251889400105,Crisis
2008-07-29,1.0002583242731584,0.9384056455232207,Crisis
2008-07-30,1.0019492870015503,0.9488100794049547,Crisis
2008-07-31,1.0056272416237437,0.9450438069753423,Crisis
2008-08-01,1.004717080651329,0.9428845257542694,Crisis
2008-08-04,1.0012265021483815,0.9367727356645433,Bear
2008-08-05,1.000060253961703,0.9491372212087495,Crisis
2008-08-06,1.0006039073046311,0.9501167061594173,Crisis
2008-08-07,1.0039716826515253,0.947815144754594,Crisis
2008-08-08,1.0037608596869891,0.9594152475376412,Crisis
2008-08-11,0.9971569892703098,0.9617071610734583,Bear
2008-08-12,0.9998590702216555,0.9592917111276152,Crisis
2008-08-13,0.9983366564118147,0.9544856956216663,Crisis
2008-08-14,0.9967675624584931,0.961264467801576,Bear
2008-08-15,0.9978058834890682,0.9674040767851141,Crisis
2008-08-18,0.9991447273058063,0.9610059218574574,Crisis
2008-08-19,0.9999758393006286,0.9532371708144328,Bear
2008-08-20,1.001605832209099,0.956959542426947,Bear
2008-08-21,1.0020134302603732,0.9572522815452705,Crisis
2008-08-22,1.000302521452104,0.9653195775201489,Crisis
2008-08-25,1.002241418591787,0.9574292470403514,Crisis
2008-08-26,1.0031590948494529,0.959427751861851,Bear
2008-08-27,1.0051118093932456,0.9656838363559392,Crisis
2008-08-28,1.0072514075168204,0.9727517490526891,Bear
2008-08-29,1.0052019923694275,0.9647420764676645,Bear
2008-09-02,1.0028348981862893,0.9647369492370751,Bear
2008-09-03,1.0037298591588037,0.9658752884653937,Crisis
2008-09-04,1.002407223474701,0.9515257549328243,Crisis
2008-09-05,1.0016976513725668,0.953122221485613,Crisis
2008-09-08,1.0038384155806426,0.9665318186649624,Crisis
2008-09-09,1.002166720129624,0.9531460182216511,Crisis
2008-09-10,0.9983104692744175,0.9531039724090536,Bear
2008-09-11,0.9966594308419747,0.961180024349492,Bear
2008-09-12,0.9969634184673545,0.9588881431973497,Crisis
2008-09-15,1.0058964392608953,0.9439536616857975,Crisis
2008-09-16,1.0039888970926794,0.9533567114503411,Crisis
2008-09-17,1.0176243968365553,0.9295438554351183,Bear
2008-09-18,1.0130275783088785,0.9406565249155354,Crisis
2008-09-19,1.0149106714442782,0.9511290730555355,Bear
2008-09-22,1.0133410140218626,0.9381689226229935,Crisis
