Date,EFA,GLD,IEF,SHY,SPY,TLT
2005-01-03,28.951860427856445,43.02000045776367,48.0914306640625,54.255218505859375,81.38372802734375,44.39650344848633
2005-01-04,28.396852493286133,42.7400016784668,47.791934967041016,54.13534164428711,80.38928985595703,43.931217193603516
2005-01-05,28.378652572631836,42.66999816894531,47.87106704711914,54.14863204956055,79.83451080322266,44.16635513305664
2005-01-06,28.378652572631836,42.150001525878906,47.916229248046875,54.17528533935547,80.24041748046875,44.19637680053711
2005-01-07,28.25127601623535,41.84000015258789,47.8767204284668,54.181976318359375,80.12539672851562,44.29643249511719
2005-01-10,28.378652572631836,41.95000076293945,47.87106704711914,54.14863204956055,80.50428771972656,44.36647033691406
2005-01-11,28.324068069458008,42.209999084472656,47.96711349487305,54.1619873046875,79.94953918457031,44.62659454345703
2005-01-12,28.551528930664062,42.599998474121094,48.040557861328125,54.1685905456543,80.21337890625,44.68666076660156
2005-01-13,28.305864334106445,42.599998474121094,48.23262405395508,54.23527145385742,79.5707015991211,45.116920471191406
2005-01-14,28.44234848022461,42.31999969482422,48.204410552978516,54.208614349365234,79.99014282226562,45.11189651489258
2005-01-18,28.464181900024414,42.31999969482422,48.18745040893555,54.18864822387695,80.82221984863281,45.26198959350586
2005-01-19,28.16937828063965,42.2599983215332,48.2156982421875,54.19527816772461,79.97660827636719,45.3921012878418
2005-01-20,27.981958389282227,42.25,48.30043411254883,54.241947174072266,79.48953247070312,45.48212432861328
2005-01-21,28.092954635620117,42.7400016784668,48.39646530151367,54.29521942138672,79.00247192382812,45.53217315673828
2005-01-24,28.142093658447266,42.77000045776367,48.3908805847168,54.26191711425781,78.84683990478516,45.72728729248047
2005-01-25,28.151182174682617,42.2400016784668,48.21002960205078,54.241947174072266,79.07008361816406,45.29701614379883
2005-01-26,28.491479873657227,42.689998626708984,48.22136306762695,54.22193145751953,79.30686950683594,45.38206100463867
2005-01-27,28.533313751220703,42.619998931884766,48.147918701171875,54.208614349365234,79.44217681884766,45.29701614379883
2005-01-28,28.469640731811523,42.689998626708984,48.39646530151367,54.23527145385742,79.44217681884766,45.75230407714844
2005-01-31,28.606109619140625,42.220001220703125,48.41347885131836,54.228553771972656,79.93598175048828,45.882408142089844
2005-02-01,28.784454345703125,42.099998474121094,48.37999725341797,54.242591857910156,80.44334411621094,45.8095588684082
2005-02-02,28.82448959350586,42.15999984741211,48.38566589355469,54.22256851196289,80.68690490722656,45.91505813598633
2005-02-03,28.667991638183594,41.68000030517578,48.30637741088867,54.189170837402344,80.47721862792969,45.8899040222168
2005-02-04,28.815387725830078,41.470001220703125,48.555721282958984,54.242591857910156,81.33638000488281,46.52766799926758
2005-02-07,28.633420944213867,41.27000045776367,48.652015686035156,54.2292594909668,81.2281265258789,46.87417984008789
2005-02-08,28.633420944213867,41.2599983215332,48.697357177734375,54.209232330322266,81.32283782958984,47.140342712402344
2005-02-09,28.560625076293945,41.310001373291016,48.935386657714844,54.30936050415039,80.7139892578125,47.265892028808594
2005-02-10,28.857242584228516,41.75,48.629364013671875,54.26930236816406,81.0048599243164,46.628150939941406
2005-02-11,29.057415008544922,42.08000183105469,48.56700897216797,54.242591857910156,81.70169067382812,46.597984313964844
2005-02-14,29.283048629760742,42.54999923706055,48.629364013671875,54.21588897705078,81.64083099365234,46.74361038208008
2005-02-15,29.479589462280273,42.58000183105469,48.555721282958984,54.22256851196289,81.9452133178711,46.507591247558594
2005-02-16,29.219364166259766,42.52000045776367,48.37999725341797,54.19587326049805,81.99932098388672,46.33183288574219
2005-02-17,29.279407501220703,42.72999954223633,48.27235412597656,54.22256851196289,81.33638000488281,46.04056930541992
2005-02-18,29.42499542236328,42.75,48.02865219116211,54.14909744262695,81.4446029663086,45.62879943847656
2005-02-22,29.355844497680664,43.56999969482422,48.034324645996094,54.16914749145508,80.23367309570312,45.42788314819336
2005-02-23,29.37040901184082,43.41999816894531,48.073974609375,54.16250228881836,80.80870056152344,45.57854461669922
2005-02-24,29.415895462036133,43.33000183105469,47.994667053222656,54.14909744262695,81.3431396484375,45.47811508178711
2005-02-25,29.757999420166016,43.5,48.06260681152344,54.12242889404297,82.14816284179688,45.699066162109375
2005-02-28,29.688861846923828,43.529998779296875,47.7509765625,54.08905029296875,81.60699462890625,45.20692443847656
2005-03-01,29.852628707885742,43.220001220703125,47.751522064208984,54.07768249511719,82.01286315917969,45.19283676147461
2005-03-02,29.628807067871094,43.25,47.7458381652832,54.11113357543945,81.9722671508789,45.13238525390625
2005-03-03,29.643369674682617,42.970001220703125,47.717437744140625,54.13119888305664,82.00614166259766,45.10720443725586
2005-03-04,30.161983489990234,43.380001068115234,47.933353424072266,54.13119888305664,83.02764892578125,45.59588623046875
2005-03-07,30.03459930419922,43.470001220703125,47.94475555419922,54.11113357543945,83.06824493408203,45.777191162109375
2005-03-08,30.116500854492188,44.029998779296875,47.717437744140625,54.11113357543945,82.75703430175781,45.34394454956055
2005-03-09,29.98001480102539,44.02000045776367,47.35373306274414,54.09104537963867,81.83699798583984,44.6034049987793
2005-03-10,30.078277587890625,44.20000076293945,47.43901443481445,54.05088806152344,82.01963806152344,44.875450134277344
2005-03-11,30.071002960205078,44.43000030517578,47.24006271362305,54.03754806518555,81.4446029663086,44.54800796508789
2005-03-14,29.97455596923828,44.029998779296875,47.35373306274414,54.01742935180664,81.95198059082031,44.815032958984375
2005-03-15,29.788936614990234,44.060001373291016,47.262847900390625,53.99739456176758,81.27552032470703,44.53288650512695
2005-03-16,29.82352638244629,44.310001373291016,47.37077331542969,54.06428527832031,80.58544921875,44.80491256713867
2005-03-17,29.788936614990234,43.81999969482422,47.55261993408203,54.084354400634766,80.74786376953125,44.95100021362305
2005-03-18,29.72888946533203,43.88999938964844,47.43330001831055,54.05762481689453,80.508056640625,44.66891860961914
2005-03-21,29.526899337768555,43.09000015258789,47.376522064208984,54.09104537963867,80.209228515625,44.54298782348633
2005-03-22,29.188432693481445,42.650001525878906,47.02983474731445,53.99739456176758,79.39424896240234,44.16511535644531
2005-03-23,28.993717193603516,42.41999816894531,47.1378288269043,53.990699768066406,79.46214294433594,44.37674331665039
2005-03-24,28.988262176513672,42.38999938964844,47.177574157714844,54.0041389465332,79.55724334716797,44.467376708984375
2005-03-28,28.988262176513672,42.540000915527344,47.02415466308594,53.97731399536133,79.67266845703125,44.19534683227539
2005-03-29,28.68801498413086,42.560001373291016,47.21733093261719,54.01742935180664,79.14293670654297,44.45732116699219
